Country,City,PM10,PM25
Afghanistan,Kabul,260,86
Afghanistan,Mazar-e Sharif,334,68
Albania,TIRANA,32,16
Andorra,Escaldes-Engordany,18,11
Argentina,Buenos Aires,26,14
Australia,Adelaide,17,7
Australia,Albany,16,7
Australia,Albury,16,7
Australia,Ayr,20,9
Australia,Bathurst,15,6
Australia,Brisbane,16,6
Australia,Bunbury,16,8
Australia,Busselton,17,7
Australia,Canberra,16,7
Australia,Central Coast,13,6
Australia,Collie,19,8
Australia,Darwin,19,8
Australia,"Devonport, Tasmania",15,6
Australia,Geelong,18,8
Australia,Geraldton,22,10
Australia,Gladstone,14,5
Australia,"Hobart, Tasmania",14,6
Australia,La Trobe Valley,20,10
Australia,"Launceston, Tasmania",19,8
Australia,Lower Hunter,17,7
Australia,Mackay,17,7
Australia,Melbourne,19,8
Australia,Moranbah,21,9
Australia,Mount Isa,16,7
Australia,Muswellbrook,21,9
Australia,Newcastle,19,8
Australia,Palmerston,22,9
Australia,Perth,17,8
Australia,Singleton,21,9
Australia,Sydney,17,8
Australia,Tamworth,16,7
Australia,Townsville,17,7
Australia,Upper Hunter,20,8
Australia,Wagga Wagga,21,8
Australia,Whyalla,16,7
Australia,Wollongong,17,7
Australia,Wyong,15,6
Austria,ARNOLDSTEIN,14,10
Austria,BAD ISCHL,16,12
Austria,BAD VÃ¶SLAU,18,13
Austria,BIEDERMANNSDORF,20,15
Austria,BLUDENZ,18,13
Austria,BRUCK AN DER MUR,24,18
Austria,DEUTSCHLANDSBERG,22,16
Austria,DORNBIRN,19,14
Austria,EBENTHAL,20,15
Austria,EISENSTADT,24,19
Austria,FELDKIRCH,23,17
Austria,FÃ_RSTENFELD,26,19
Austria,GÃ_nserndorf,21,15
Austria,GRAZ,25,19
Austria,GROSSENZERSDORF,24,18
Austria,HALL IN TIROL,24,18
Austria,HALLEIN,24,18
Austria,HARTBERG,24,17
Austria,HEITERWANG,13,10
Austria,HIMBERG,23,17
Austria,HÃ¶CHST,21,16
Austria,IMST,18,13
Austria,INNSBRUCK,21,14
Austria,JUDENBURG,17,13
Austria,KAPFENBERG,18,13
Austria,KEMATEN,20,15
Austria,KLAGENFURT,23,14
Austria,KLOSTERNEUBURG,27,20
Austria,KNITTELFELD,21,16
Austria,KREMS,24,17
Austria,KUFSTEIN,17,13
Austria,LEOBEN,20,14
Austria,LIENZ,20,15
Austria,LIEZEN,20,15
Austria,LINZ,26,17
Austria,LUSTENAU,20,15
Austria,MÃ¶DLING,21,15
Austria,MÃ_RZZUSCHLAG,17,13
Austria,SALZBURG,25,16
Austria,SANKT ANDRÃ_ IM LAVANTTAL,24,18
Austria,SANKT POELTEN,24,18
Austria,SANKT VEIT AN DER GLAN,22,16
Austria,SCHWAZ,20,15
Austria,SCHWECHAT,23,17
Austria,SPITTAL AN DER DRAU,20,15
Austria,STEYR,20,15
Austria,STEYREGG,26,19
Austria,STOCKERAU,23,17
Austria,TRAISMAIER,22,16
Austria,TULLN,22,16
Austria,VILLACH,19,14
Austria,VÃ¶CKLABRUCK,21,15
Austria,WEIZ,26,19
Austria,WELS,23,18
Austria,WIEN,26,18
Austria,WIENER NEUDORF,23,16
Austria,WIENER NEUSTADT,18,13
Austria,WOLFSBERG,26,19
Austria,WÃ¶RGL,20,15
Austria,ZELTWEG,21,16
Bahrain,Hamad Town,318,66
Bahrain,Hidd,178,41
Bahrain,Ma'ameer,257,64
Bahrain,Nabih Saleh,244,58
Bahrain,Ras Hayan,250,44
Bangladesh,Barisal,142,85
Bangladesh,Chittagong,135,95
Bangladesh,Dhaka,158,90
Bangladesh,Gazipur,155,89
Bangladesh,Khulna,109,61
Bangladesh,Narayangonj,191,106
Bangladesh,Rajshahi,64,37
Bangladesh,Sylhet,170,61
Belgium,AARSCHOT,23,16
Belgium,ANDENNE,18,13
Belgium,ANTWERPEN,27,17
Belgium,BERENDRECHT,26,17
Belgium,BERTRIX,15,10
Belgium,BOOM,25,17
Belgium,BRUGGE,25,17
Belgium,BRUSSELS,26,18
Belgium,CHARLEROI,23,15
Belgium,CHATELET,21,14
Belgium,CORROY LE GRAND,20,15
Belgium,DESSEL,22,15
Belgium,DESTELBERGEN,25,17
Belgium,ENGIS,31,17
Belgium,EVERGEM,30,19
Belgium,GENK,26,18
Belgium,GENT,30,19
Belgium,HABAY LA NEUVE,15,11
Belgium,HASSELT,24,18
Belgium,HERSTAL,20,13
Belgium,HOBOKEN,28,19
Belgium,HOEVENEN,26,18
Belgium,LANDEN,23,15
Belgium,LIEGE,22,15
Belgium,MECHELEN,25,17
Belgium,MENEN,27,18
Belgium,MOERKERKE,24,16
Belgium,MONS,28,16
Belgium,OOSTROZEBEKE,31,21
Belgium,RETIE,22,15
Belgium,ROESELAERE,28,19
Belgium,SAINTE-ODE,13,9
Belgium,SERAING,25,16
Belgium,SOMME-LEUZE,16,11
Belgium,STEENOKKERZEEL,25,17
Belgium,TOURNAI,21,14
Belgium,VEURNE,24,16
Belgium,VIELSALM,13,9
Belgium,VILVOORDE,27,18
Belgium,VIROINVAL,15,10
Belgium,ZELZATE,30,20
Belgium,ZWEVEGEM,27,18
Belgium,ZWIJNDRECHT,29,20
Bhutan,Thimphu,78,43
"Bolivia, Plurinational States of",Cochabamba,60,32
"Bolivia, Plurinational States of",La Paz,82,44
Bosnia and Herzegovina,SARAJEVO,50,30
Bosnia and Herzegovina,TUZLA,106,65
